Food,energy,protein,fat,carbs,fiber,calcium,iron,vitamin_c,folate,vitamin_a,vitamin_e,is_alcohol,is_leafy_green,vitamin_k_proxy
Beer,43,0,0.46,3.55,0,4,0.02,0,6,0,0,1,0,0
Arak,222,0,0,0,0,0,0,0,0,0,0,1,0,0
Kasippu,222,0,0,0,0,0,0,0,0,0,0,1,0,0
"Liquor (Toddy, Coconut)",222,0,0,0,0,0,0,0,0,0,0,1,0,0
"Liquor (Toddy, Kitul)",222,0,0,0,0,0,0,0,0,0,0,1,0,0
"Liquor (Toddy, Palmyra)",222,0,0,0,0,0,0,0,0,0,0,1,0,0
"Liquor, Hard (>35% Abv), Non-Specific",222,0,0,0,0,0,0,0,0,0,0,1,0,0
"Coconut Water (Botteled, Sweetend)",31.4,0,0.28,7.43,0,7.14,0,0,0,0,0,0,0,0
"Coconut Water (Fresh, Unsweetend)",14,0.3,0.2,3.2,0,27,0.06,0.6,10.9,0,0.5,0,0,0
Fruit And Milk Drink,72,3.6,1.5,11.7,0,115,0.62,0,2,0,0,0,0,0
Fruit Cordial (With Water),18.090851,0.16,0.1,4.0250001,0.51749998,1.8173749,0.063000001,0.3955,1.78625,0,0.125,0,0,0
"Fruit Drink (Botteled,Ready-To-Drink)",40,0.4,0,10.3,0,7,0.07,33,11,0,0,0,0,0
"Fruit Nectar (Botteled,Ready-To-Drink)",40,0.4,0,10.3,0,7,0.07,33,11,0,0,0,0,0
Fruit Squah (With Water),37,0.1,0,9.8,0,6,0,0,2,0,0,0,0,0
Juice (Sweetend),40,0.4,0,10.3,0,7,0.07,33,11,0,0,0,0,0
Lime Juice,3.272548,0.054841947,0.021604404,0.70200467,0.15954022,2.1633141,0.010114947,3.1617215,1.0054357,0.029913791,0.028251912,0,0,0
Passion Fruit Juice,44,0.8,0.1,10.7,0,7,0.5,21,0,0,0,0,0,0
"Lemon Or Lime Juice (Fresh, Water & Sugar)",4.2696743,0.03074473,0.063151337,0.89893711,0,1.8666689,0.010945885,4.074923,1.191566,0.035730362,0.003323755,0,0,0
"Lemon Or Lime Juice (Fresh, Water,No Sugar)",35,0.4,0.8,7,0,23,0.12,48.2,12.4,0,0.1,0,0,0
"Lime Juice (Fresh,Raw (100% Juice))",9,0.4,0.1,1.6,0,9,0,38,0,0,0,0,0,0
Apple Juice (Unsweetened (100% Juice)),40,0.4,0,10.3,0,7,0.07,33,11,0,0,0,0,0
Mango Juice (Unsweetened (100% Juice)),39,0.1,0.2,9.8,0,2,1.5,25,0,35,0,0,0,0
Orange Juice (Unsweetened (100% Juice)),36,0.5,0.1,8.8,0.1,10,0.2,39,20,3,0.2,0,0,0
Kenda (Finger Millet),181.94475,2.5487068,13.867081,11.381498,1.4856118,32.652157,1.4581234,2.9191108,16.164854,6.3755531,0.03135138,0,0,0
Kenda (Leafy Vegetable & Rice),52,1.4,0.3,11.6,0.8,83,2.52,2,0,235,92.1,0,1,300
Cola,41,0,0,10.9,0,6,0,0,0,0,0,0,0,0
Cream Soda,50,0,0,13.3,0,5,0.05,0,0,0,0,0,0,0
Energy Drink,27,0,0,7.2,0,7,0,1,1,0,0,0,0,0
Fruit-Flavored Soda,27,0,0,7.2,0,7,0,1,1,0,0,0,0,0
Ginger Beer,27,0,0,7.2,0,7,0,1,1,0,0,1,0,0
Lemon-Lime Soda,27,0,0,7.2,0,7,0,1,1,0,0,0,0,0
Orange Soda,48,0,0,12.3,0,5,0.06,0,0,0,0,0,0,0
